Type,Name,Count
Label,BOX RED,3
Label,MASTERMIX RECORDS,4
Label,Do Not Sit On The Furniture Recordings,1
Label,Columbia (Sony),2
Label,I99I,1
Label,HAUSA GROOVE,1
Label,Hurry Up Slowly,1
Label,Truesoul,1
Label,DFTD,6
Label,Matroda & Bleu Clair,1
Label,Tinted Records,1
Label,Solid Grooves Records,6
Label,Wh0 Plays,2
Label,Revival New York,3
Label,Gossip,2
Label,Armind (Armada),2
Label,Never Worry Records,2
Label,Unidisc Music,1
Label,COCO,3
Label,Urbana Recordings,1
Label,BMG Rights Management (UK) Limited,3
Label,This Ain't Bristol,2
Label,Gudu Records,1
Label,Superstition Records,1
Label,Republic Records,1
Label,NoZzo Music,1
Label,Atlantic Records/Asylum,4
Label,Basica Recordings,1
Label,Chronic,1
Label,DENSER,1
Label,UKF,4
Label,,15
Label,Time Is Now Recordings,2
Label,UPPERGROUND,4
Label,Dubz Audio,1
Label,XL Recordings,2
Label,Toolroom Longplayer,3
Label,Disclosure,1
Label,Bar 25 Music,1
Label,Infekted Records,1
Label,Vicious,3
Label,Generation HEX,1
Label,Limbo Records,4
Label,Symmetry Recordings,1
Label,Rose Avenue/Reprise,3
Label,SPINNIN' RECORDS,3
Label,Another Rhythm,2
Label,Sony Music CG,1
Label,Siona Records,2
Label,ATLANT,1
Label,K7 Records,1
Label,Hood Politics Records,3
Label,Say What?,1
Label,Create Music Group,1
Label,Dub Shotta,1
Label,Form,3
Label,Neksus Sound,1
Label,Hoomidaas,1
Label,Night Bass Records,2
Label,Modula Records,1
Label,Bedrock Records,1
Label,Monaberry,1
Label,Columbia/B1 Recordings,2
Label,Kontor Records,2
Label,Reshape Black,2
Label,Casa Rossa,2
Label,Cleveland City,2
Label,Korsakov Music,2
Label,Nero Bianco,1
Label,Diynamic,3
Label,WE'RE HERE,2
Label,Night Service Only (NSO),1
Label,Warner Records,1
Label,Alula Tunes,2
Label,Kneaded Pains,1
Label,Elevate Records,2
Label,Oryx Music,1
Label,Ellum,2
Label,Program,1
Label,Desert Hearts Records,1
Label,Hazardous Material,1
Label,DeVice,1
Label,Black Book Records/Astralwerks,1
Label,AllPoints,1
Label,Beard Man,1
Label,Innervisions,1
Label,Hypnostate,1
Label,Skint Records,1
Label,Drum&BassArena,1
Label,Issues,1
Label,Yellow Productions,1
Label,Save The Nightlife,1
Label,Extra Sound Recordings,1
Label,Musica Autonomica,1
Artist,Vintage Culture,10
Artist,Elise LeGrow,4
Artist,DONT BLINK,7
Artist,Eddy M,3
Artist,Dennis Cruz,9
Artist,Kevin McKay,10
Artist,Milos Pesovic,2
Artist,Late Replies,2
Artist,Charles D (USA),3
Artist,Tinie Tempah,3
Artist,Torren Foot,3
Artist,L Devine,3
Artist,Cristoph,8
Artist,Solomun,3
Artist,Space 92,13
Artist,Klinical,5
Artist,Waeys,2
Artist,PAX,4
Artist,Gorgon City,10
Artist,Gruuve,4
Artist,Sasha,1
Artist,Franky Wah,6
Artist,Fabrication,8
Artist,Push,1
Artist,Crazibiza,9
Artist,Mefjus,3
Artist,Bou,4
Artist,Jamie Jones,4
Artist,Harvy Valencia,1
Artist,Kurd Maverick,3
Artist,John Summit,16
Artist,GUZ (NL),10
Artist,York,4
Artist,David Guetta,4
Artist,MORTEN,2
Artist,Lanie Gardner,2
Artist,Westbam,1
Artist,Richard Butler,1
Artist,Moreno Pezzolato,6
Artist,Earth n Days,2
Artist,Bladerunner,4
Artist,The YellowHeads,2
Artist,Armand Van Helden,5
Artist,Chris Lake,6
Artist,Block & Crown,23
Artist,Sailor & I,3
Artist,ARTBAT,9
Artist,LO'99,2
Artist,Diplo,6
Artist,Sonny Fodera,3
Artist,Technotronic,1
Artist,Alex Stein,1
Artist,Signum,2
Artist,Scott Mac,2
Artist,Victor Ruiz,1
Artist,Robert Miles,1
Artist,Tinlicker,4
Artist,Selace,1
Artist,Disko Junkie,6
Artist,Wankelmut,1
Artist,Anna Leyne,1
Artist,CamelPhat,8
Artist,Will Easton,1
Artist,Carl Cox,1
Artist,Marc Palacios,1
Artist,DJ Kone,1
Artist,T.Markakis,2
Artist,Yotto,7
Artist,Paul Parsons,3
Artist,Lissat,12
Artist,Einmusik,1
Artist,Stereo Express,1
Artist,Tiesto,6
Artist,Michele Conte,1
Artist,Eli Brown,9
Artist,Coeus,2
Artist,Jay Lumen,3
Artist,Volkoder,1
Artist,Sam Supplier,2
Artist,Maur,5
Artist,Yolanda Be Cool,1
Artist,Dcup,1
Artist,Marino Canal,1
Artist,Luca Debonaire,2
Artist,ZHU,1
Artist,Bob Moses,1
Artist,sp:mc,1
Artist,Workforce,1
Artist,i_o,1
Artist,Kasra,2
Artist,Slay,1
Artist,SIDEPIECE,2
Artist,Andhim,1
Artist,Kanine,2
Artist,Javi Colors,2
Artist,Dr. Alfred,2
Artist,Louie Vega,8
Artist,The Martinez Brothers,6
Artist,Marc E. Bassy,6
Artist,Bross (RO),1
Artist,VICTHOR,2
Artist,Maceo Plex,10
Artist,Jaden Thompson,1
Artist,Nick Curly,3
Artist,Bicep,1
Artist,Mode Apart,1
Artist,EDUKE,2
Artist,Pablo Fierro,3
Artist,Dimension,1
Artist,Maverick Sabre,1
Artist,Jorja Smith,1
Artist,Yavtushenko,1
Artist,Mike Dunn,2
Artist,Blond:ish,1
Artist,Rowee,1
Artist,Green Velvet,2
Artist,Mylo,1
Artist,Claptone,1
Artist,DJ Hazard,5
Artist,Timmo,2
Artist,Christian Lepah,1
Artist,Yves Murasca,1
Artist,Rosario Galati,1
