Type,Name,Count
Genre,Tech House,312
Genre,Techno (Peak Time / Driving),190
Genre,Progressive House,28
Genre,Funky House,82
Genre,Future House,85
Genre,Big Room,49
Genre,Melodic House & Techno,110
Genre,Deep House,79
Genre,Psy-Trance,4
Genre,Indie Dance,12
Genre,Dance / Electro Pop,24
Genre,Nu Disco / Disco,13
Genre,Electro House,19
Genre,Afro House,31
Genre,DJ Tools,1
Genre,Drum & Bass,10
Genre,Minimal / Deep Tech,12
Genre,Trance (Main Floor),32
Genre,House,95
Genre,Bass House,4
Genre,Trap / Future Bass,2
Genre,Hard Dance / Hardcore,3
Genre,Electronica,2

Label,Relief,40
Label,Drumcode,59
Label,Pryda Recordings,4
Label,Suara,32
Label,Toolroom,26
Label,PornoStar Records,17
Label,SPINNIN' RECORDS,53
Label,Stil Vor Talent,20
Label,Heldeep Records,8
Label,Senso Sounds,9
Label,Tronic,11
Label,Rebirth,7
Label,Subliminal,3
Label,Deeperfect,6
Label,Armind (Armada),6
Label,Erase Records,7
Label,Polydor Associated Labels,3
Label,Mr. Nice Guy,3
Label,The Echo Label Limited,2
Label,Cube Recordings,4
Label,Cartel Music,8
Label,InStereo Recordings,6
Label,SPINNIN' DEEP,15
Label,Suruba X,2
Label,Second State,5
Label,Emerald City Music,7
Label,Prison Entertainment,5
Label,Mobilee Records,5
Label,Soma Records,1
Label,Virgin EMI,8
Label,Revealed Recordings (back catalog),1
Label,Kittball,4
Label,Terminal M,6
Label,K7 Records,2
Label,Solid State Disco,2
Label,Kompakt Extra,5
Label,Circus Recordings,2
Label,Skint Records,2
Label,Systematic Recordings,2
Label,Darkside Digital Records,1
Label,Snatch! Records,13
Label,Octopus Recordings,6
Label,Atlantic Records UK,4
Label,Diynamic,23
Label,Bourne Recordings,3
Label,1605,1
Label,Bunny Tiger,2
Label,Disruptor Records/Columbia,4
Label,Superfriends Records,5
Label,Intec,3
Label,Form,2
Label,Noir Music,8
Label,Universal Music,3
Label,WHATIPLAY,2
Label,Elogikal,1
Label,Keno Records,1
Label,Spinnin' Premium,1
Label,Unity Records,1
Label,Bombstrikes Classics,1
Label,Defected,28
Label,Footwork,3
Label,AVOTRE,2
Label,Technique Recordings,2
Label,Repopulate Mars,11
Label,Anjunadeep,9
Label,Maeve,5
Label,Truesoul,5
Label,Knee Deep In Sound,6
Label,Get Physical Music,8
Label,HEXAGON by Spinnin' Records,7
Label,HEXAGON,4
Label,Jeudi Records,5
Label,Exploited,2
Label,Monstercat,3
Label,No Definition,3
Label,Material,2
Label,Hot Creations,36
Label,Rumors,1
Label,We Still Believe,1
Label,Enormous Tunes,17
Label,New State Music,2
Label,DOORN RECORDS,2
Label,8Bit,3
Label,Armada Music,5
Label,Mainstage Music,2
Label,FSOE,8
Label,Leena Music,1
Label,Anjunabeats,5
Label,Maxximize,3
Label,Lost & Found,5
Label,Kaluki Musik,2
Label,Keinemusik,12
Label,All Day I Dream,5
Label,Musical Freedom,14
Label,Rawtone Black,3
Label,Bedrock Records,5
Label,JAM,2
Label,Wake Your Mind Records,1
Label,Classic Music Company,2
Label,No Idea's Original,1
Label,Domino,3
Label,Dirty Soul Music (Be Yourself Music),3
Label,Sapiens Recordings,8
Label,Rekids,4
Label,Crosstown Rebels,18
Label,Innervisions,13
Label,Mother Recordings,4
Label,Axtone Records,3
Label,Dekmantel,3
Label,Revealed Recordings,4
Label,Disco Revenge,2
Label,Virgin Records Ltd,1
Label,Afterlife Records,11
Label,Charge Recordings,1
Label,Moon Harbour Recordings,10
Label,Computer Integrated Audio,1
Label,DIRTYBIRD,13
Label,SPRS,7
Label,Global Gemini,1
Label,Guesthouse Music,4
Label,Visionquest,1
Label,Inmotion Music,1
Label,ORIGINS RCRDS,4
Label,Different,5
Label,Smash The House,2
Label,Turbo Recordings,5
Label,SCI+TEC,2
Label,Spinnin' Remixes,4
Label,OWSLA,2
Label,Mesh,1
Label,Grotesque,1
Label,Universal Music Group International,1
Label,Green,3
Label,Edible,1
Label,Nervous Records,2
Label,NO ART (Armada Music),5
Label,mau5trap,1
Label,elrow Music,7
Label,Subculture,1
Label,Poker Flat Recordings,4
Label,Size Records,2
Label,Blackout Music NL,1
Label,Connected Frontline,4
Label,This Ain't Bristol,1
Label,Ultra,1
Label,Kearnage Recordings,3
Label,VIVa LIMITED,2
Label,King Street Sounds,2
Label,Dimension,1
Label,MOOD,1
Label,Mad Decent,1
Label,Stereo Productions Catalog,5
Label,Kompakt,6
Label,Parlophone UK,7
Label,GU Music,4
Label,Bass Culture Records,1
Label,Food Music,1
Label,Rebellion,1
Label,DGTL,1
Label,Rejected,1
Label,AFTR:HRS,3
Label,Sol Selectas,3
Label,Exploited Club,3
Label,OXYGEN,1
Label,Upon You Records,1
Label,AARRIVAL,1
Label,Last Night On Earth,3
Label,Objektivity,5
Label,Southern Fried Records,1
Label,Armada Music Albums,1
Label,Hospital Records,1
Label,Play It Say It,2
Label,FSOE Fables,1
Label,Flashover Recordings,1
Label,Kraftek,6
Label,Ellum,3
Label,Glitterbox Recordings,3
Label,Lumière Noire Records,1
Label,From Another Mind,1
Label,Einmusika Recordings,2
Label,Universal-Island Records Ltd.,3
Label,Lumberjacks In Hell,2
Label,Up-Tempo Records,2
Label,Prototype Recordings Corporation,1
Label,Who's Afraid Of 138?!,1
Label,Sudbeat Music,1
Label,I/AM/ME (BMG),1
Label,Solid Grooves Records,3
Label,DFTD,4
Label,EXILE,1
Label,Spinnin' Copyright Free Music,1
Label,Be One Limited,2
Label,Sola,9
Label,Pryda Presents,3
Label,Hippie Dance,1
Label,17 Steps,5
Label,ABODE Records,1
Label,Suruba,1
Label,Club Sweat,5
Label,Hottrax,8
Label,Exit Strategy,1
Label,Milk & Sugar,2
Label,Suol,1
Label,Life And Death,1
Label,Figure,1
Label,Lone Romantic,1
Label,Renaissance Records,5
Label,Brock Wild,4
Label,Watergate Records,10
Label,Sweat It Out,2
Label,Sondos (Subliminal Records),1
Label,ReGraded,1
Label,Cr2 Records,6
Label,D-FLOOR MUSIC,1
Label,Sum Over Histories,1
Label,We Are The Brave,3
Label,Dharma (WMG),1
Label,LF RMX,1
Label,Aeon,1
Label,Trip,1
Label,This Never Happened,1
Label,Get Weird,1
Label,Pets Recordings,3
Label,Filth on Acid,1
Label,Mouseville,3
Label,Artist Partner,1
Label,VANDIT Records,1
Label,Cityfox,1
Label,Octopus Black Label,1
Label,Permanent Vacation,4
Label,Rawsome Recordings,3
Label,Monaberry,3
Label,Tale & Tone,2
Label,Ninja Tune,2
Label,Manjumasi,1
Label,NewLight Records,3
Label,Columbia (Sony),3
Label,Epic Amsterdam,2
Label,Positiva,1
Label,Play Groove Recordings,3
Label,Black Book Records,1
Label,Kindisch,3
Label,Odd Recordings,1
Label,Underyourskin Records,1
Label,Toolroom Trax,3
Label,Cruise Music,1
Label,Critical Music,1
Label,fryhide,5
Label,Hardwell & KSHMR,2
Label,Running Back,4
Label,PAWZ,1
Label,KMS Records,1
Label,Insomniac Records,1
Label,Protocol Recordings,1
Label,Wall Recordings,1
Label,Dharma Music,1
Label,Glasgow Underground,2
Label,Phobiq,1
Label,AVA White,1
Label,Sol Eterno,1
Label,Bla Bla,1
Label,ELEVATE,3
Label,Epic/Legacy,1
Label,Mary Go Wild Black,1
Label,PinkStar Records,2
