Type,Name,Count
Genre,Tech House,247
Genre,Electronica,18
Genre,Dance / Electro Pop,97
Genre,House,102
Genre,Melodic House & Techno,100
Genre,Funky House,70
Genre,Deep House,25
Genre,Bass House,39
Genre,Drum & Bass,61
Genre,Techno (Peak Time / Driving),103
Genre,Organic House / Downtempo,9
Genre,Progressive House,18
Genre,Nu Disco / Disco,22
Genre,Indie Dance,18
Genre,Afro House,30
Genre,Electro House,2
Genre,Trance (Main Floor),7
Genre,Minimal / Deep Tech,16
Genre,Mainstage,6
Genre,Dubstep,4
Genre,UK Garage / Bassline,7
Genre,Hard Techno,2
Genre,Jackin House,2
Genre,Bass / Club,3
Genre,Trap / Wave,1
Label,THRIVE MUSIC,12
Label,Cleopatra Records,3
Label,EMI,14
Label,SOLOTOKO,14
Label,Repopulate Mars,26
Label,Insomniac Records,12
Label,Black Book Records,15
Label,Cr2 Records,6
Label,Phonetic Recordings,4
Label,UPPERGROUND,9
Label,Ultra,7
Label,SPINNIN' RECORDS,12
Label,Columbia/B1 Recordings,7
Label,Trick,6
Label,Atlantic Records UK,16
Label,Prison Entertainment,4
Label,Solid Grooves Records,5
Label,Toolroom,21
Label,"Sueños Globales, LLC",3
Label,REALM Records,13
Label,Ministry of Sound Recordings,10
Label,PornoStar Records,8
Label,Rose Avenue/Reprise,7
Label,Symmetry Recordings,3
Label,Musical Freedom,16
Label,Space Motion Records,7
Label,FFRR,4
Label,AllPoints,2
Label,Alula Tunes,1
Label,Lost & Found,9
Label,Tactical Records,22
Label,Einmusika Recordings,2
Label,,35
Label,Black Book Records/Astralwerks,2
Label,MASTERMIX RECORDS,4
Label,Kontor Records,3
Label,Casa Rossa,2
Label,Form,1
Label,Innervisions,4
Label,Hood Politics Records,1
Label,Nitron Music,1
Label,1605,6
Label,Beard Man,1
Label,Cleveland City,1
Label,SPINNIN' DEEP,7
Label,Tasty Recordings,2
Label,Vicious,4
Label,ZYX,2
Label,The Myth of NYX,4
Label,Armada Subjekt,6
Label,SBME Strategic Marketing Group,1
Label,Glasgow Underground,9
Label,Revival New York,5
Label,D4 D4NCE,6
Label,G*High,11
Label,Hazardous Material,1
Label,Hypnostate,2
Label,Toolroom Longplayer,1
Label,Catch & Release,12
Label,South Of Saturn,8
Label,Save The Nightlife,1
Label,Dubz Audio,2
Label,Sweat It Out,8
Label,Armind (Armada),2
Label,Nazca,1
Label,Souped Up Records,4
Label,TRANSA RECORDS,1
Label,Siona Records,1
Label,Yellow Productions,6
Label,Filth on Acid,23
Label,Afterlife Records,27
Label,Heldeep Records,4
Label,Different,2
Label,Defected,31
Label,Classic Music Company,3
Label,Acetone,2
Label,Critical Music,3
Label,DNB Allstars Records,2
Label,Crosstown Rebels,2
Label,Toolroom Trax,3
Label,Ego,2
Label,NLV Records,1
Label,Magic Island Recordings,2
Label,Anjunadeep,6
Label,Jungle Cakes,4
Label,Embassy One,7
Label,Playaz,1
Label,Anjunabeats,3
Label,Neksus Sound,1
Label,BOX RED,1
Label,Terms & Conditions,1
Label,Life And Death,1
Label,Vibrancy,1
Label,Songspire Records,1
Label,Arms & Legs,2
Label,DARKMTTR Records,1
Label,Wh0 Plays,1
Label,Footwork,7
Label,Pitch Records,1
Label,Columbia (Sony),1
Label,Selected.,4
Label,PAWZ,3
Label,Born On Road,3
Label,Digital Soundboy,1
Label,Spectrum (NL),3
Label,Process Records,2
Label,Tribal Kitchen,4
Label,Hot Cakes,2
Label,Highly Contrasting,1
Label,Relief,2
Label,Drumcode,27
Label,Sola,2
Label,Key Records,1
Label,Odd One Out,3
Label,Drum&BassArena,1
Label,WYLD,1
Label,Gossip,1
Label,Lone Romantic,1
Label,Elevate Records,2
Label,Hurry Up Slowly,8
Label,Heavy House Society,1
Label,Moments,1
Label,Universal Music Division Island Def Jam,2
Label,Phisica,5
Label,Universal-Island Records Ltd.,8
Label,DFTD,3
Label,STMPD RCRDS,2
Label,Revealed Recordings,7
Label,Nettwerk,2
Label,Ministry of Sound (UK),2
Label,UKF,3
Label,Techne,1
Label,Technique Recordings,1
Label,Last Night On Earth,1
Label,Night Service Only (NSO),3
Label,Saved Records,3
Label,10:22pm,1
Label,Keinemusik,6
Label,Another Rhythm,5
Label,Scythe Recordings,3
Label,Terminal M,2
Label,Universal Music Ltda.,1
Label,Cercle Records,3
Label,mau5trap,5
Label,Sink or Swim,3
Label,Higher Ground (Mad Decent),1
Label,Circus Recordings,1
Label,Hot Creations,11
Label,Virgin,7
Label,Pampa Records,3
Label,Sweet Tooth Recordings,1
Label,Club Sweat,4
Label,Medium Rare Recordings,2
Label,There Was Jack,2
Label,Criterio Music,7
Label,Gudu Records,2
Label,Cocoa,1
Label,Black Hole Recordings,2
Label,Running Clouds,1
Label,Knee Deep In Sound,3
Label,NO ART,4
Label,NINL,4
Label,KNTXT,6
Label,33 Music,1
Label,Terminal Underground,1
Label,Abracadabra Music,8
Label,Off The Grid,12
Label,Soul Jazz Records,3
Label,Pschent Music,3
Label,Big Beat Records,4
Label,Nice Life/Atlantic,5
Label,Kangarooli Tracks/RCA Records,5
Label,Café Del Mar Music,1
Label,Bad Music Limited,1
Label,MUSE,1
Label,Hungarian Hot Wax,3
Label,London Music Stream,1
Label,CONTROVERSIA,1
Label,Korsakov Music,2
Label,Terracotta Records,1
Label,Get Darker (2),2
Label,NINETOZERO,5
Label,Columbia Local,2
Label,Magik Muzik,2
Label,Disciple,1
Label,Diynamic,3
Label,Innellea,1
Label,"Illegal M Ltd, Exclusively distributed by Virgin Music LAS",1
Label,WE'RE HERE,1
Label,Armada Music Albums,2
Label,FCKNG SERIOUS,1
Label,OVO,2
Label,CircoLoco Records,1
Label,Go Deeva Records,1
Label,Republic Records,3
Label,Homegrown.,1
Label,Incorrect,1
Label,MoBlack Records,1
Label,XL Recordings,3
Label,Late Checkout,6
Label,Arti Farti,2
Label,Astralwerks,5
Label,SUPERCIRCUS,7
Label,Nervous Records,3
Label,Cecille,2
Label,Altitude Records,2
Label,HARD Recs,1
Label,Atlantic Records,6
Label,High Fashion Music,3
Label,RAM Records,1
Label,Malligator Productions / Because Music,2
Label,Hottrax,2
Label,Consequence Of Society Recordings,1
Label,Madorasindahouse Records,2
Label,Hellbent Records,2
Label,Cuttin' Headz,3
Label,Confession,2
Label,SASS,2
Label,1985 Music,2
Label,Blast Records,1
Label,UNLEASHED,1
Label,Issues,1
Label,Divided Souls,1
Label,Dimension,1
Label,Braslive Records,1
Label,SAN PACHO / 2NIGHT,1
Label,Mindshake Records,1
Label,ICONYC,1
Label,Axtone Records,3
Label,Rumors,2
Label,Parlophone UK,4
Label,Tomorrowland Music,3
Label,Panda Lab Records,4
Label,Solid Grooves Raw,3
Label,Inhouse,2
Label,C4C Recordings,1
Label,Say What?,3
Label,Warner Records,1
Label,Snatch! Records,3
Label,Cocoon Recordings,1
Label,There Is A Light,3
Label,Onyx Recordings,1
Label,La Pera Records,1
Label,Invicta Audio,1
Label,541,3
Label,Southern Fried Records,1
Label,KOOKOO RECORDS,2
Label,Armada Music,2
Label,Nero Bianco,1
Label,Factory 93 Records,2
Label,NUFORM,1
Label,HIJINXX/Island,1
Label,Future Rave,1
Label,TBX,1
Label,Strut,1
Label,Reload Records,1
Label,Crucast,1
Label,LW Recordings,1
Label,TECH IT DEEP,1
Label,A$AP Worldwide/Polo Grounds Music/RCA Records,1
Label,From The South,1
Label,One Tribe Records,1
Label,Peacefrog Records,1
Label,DAYS like NIGHTS,1
Label,Rekids,2
Label,Titan Records,1
Label,La Luna Records,1
Label,R - Label Group,1
Label,Systematic Recordings,1
Label,For The Music,1
Label,AFRODISE,1
Artist,Cherish,10
Artist,ACRAZE,10
Artist,Soft Cell,3
Artist,Elton John,9
Artist,Dua Lipa,7
Artist,Tita Lau,6
Artist,James Hype,25
Artist,Lee Foss,4
Artist,Joshwa (UK),8
Artist,Vintage Culture,11
Artist,Chris Lorenzo,10
Artist,Matt Sassari,9
Artist,Paul Reid,4
Artist,ARTBAT,10
Artist,Byron Stingily,2
Artist,Martin Ikin,6
Artist,Skytech,5
Artist,Neitan,5
Artist,DJ Kuba,5
Artist,Oden & Fatzo,6
Artist,Ewan McVicar,2
Artist,The Black Madonna,4
Artist,Fred again..,15
Artist,Softmal,4
Artist,Nytron,4
Artist,Eddy M,1
Artist,Mark Knight,7
Artist,Mason,2
Artist,Skrillex,3
Artist,J Balvin,3
Artist,Ben Kim,5
Artist,Faithless,3
Artist,Maceo Plex,2
Artist,House of Prayers,1
Artist,RÜFÜS DU SOL,7
Artist,David Guetta,7
Artist,Break,4
Artist,Biscits,5
Artist,Space Motion,11
Artist,Echoes,2
Artist,John Summit,13
Artist,N'to,2
Artist,Monolink,5
Artist,Carbon,1
Artist,Lampe,1
Artist,Volen Sentir,3
Artist,Nari,5
Artist,Stylus Robb,2
Artist,D-Nox,2
Artist,Stereo Underground,2
Artist,,35
Artist,Halo Varga,1
Artist,Chris Lake,4
Artist,NPC,2
Artist,Luca Debonaire,5
Artist,Jaded,3
Artist,Gary Caos,2
Artist,Popof,1
Artist,Space 92,11
Artist,Jimi Jules,1
Artist,Brad Wood (UK),1
Artist,Vincent Vaguer,1
Artist,Majestic,2
Artist,Boney M.,2
