Type,Name,Count
Genre,Tech House,276
Genre,Melodic House & Techno,151
Genre,Deep House,62
Genre,House,125
Genre,Techno (Peak Time / Driving),202
Genre,Funky House,100
Genre,Nu Disco / Disco,36
Genre,Future House,33
Genre,Minimal / Deep Tech,8
Genre,Progressive House,25
Genre,DJ Tools,1
Genre,Big Room,43
Genre,Indie Dance,15
Genre,Afro House,21
Genre,Dance / Electro Pop,26
Genre,Electro House,12
Genre,Drum & Bass,19
Genre,Electronica,2
Genre,Psy-Trance,1
Genre,Trance (Main Floor),29
Genre,Trap / Future Bass,1
Genre,Bass House,6
Genre,Leftfield House & Techno,1
Genre,Hard Dance / Hardcore,1
Label,Hot Creations,26
Label,Afterlife Records,10
Label,Crosstown Rebels,16
Label,Stil Vor Talent,18
Label,PAWZ,5
Label,Rejected,5
Label,Noir Music,18
Label,DIRTYBIRD,19
Label,Mother Recordings,7
Label,DELYSID,3
Label,La Pera Records,8
Label,Defected,38
Label,Black Lizard Records,4
Label,ELEVATE,2
Label,Mobilee Records,5
Label,Relief,29
Label,PPMUSIC,10
Label,Toolroom,36
Label,Turbo Recordings,2
Label,Darklight Recordings (Armada),1
Label,HouseU,3
Label,Sola,22
Label,Lemon-aid Music,3
Label,Nothing Else Matters (Sony),3
Label,Pryda Recordings,3
Label,Parquet Recordings,4
Label,Cr2 Records,9
Label,Drumcode,59
Label,Second State,8
Label,Bondage Music,2
Label,Solid Grooves Records,2
Label,Hotfingers,1
Label,Embassy One,3
Label,REALM,3
Label,Enormous Tunes,13
Label,Ammo Recordings,4
Label,Sleazy Deep,5
Label,8Bit,6
Label,Warehouse Music.,1
Label,Hottrax,2
Label,Whore House,6
Label,Snatch! Records,6
Label,PornoStar Records,22
Label,Suara,10
Label,Odd Even,1
Label,Elogikal,1
Label,Sous Music,1
Label,HEXAGON Records,2
Label,Pryda Presents,2
Label,Wall Recordings,2
Label,Columbia (Sony),10
Label,Keinemusik,5
Label,Watergate Records,9
Label,Muzik X Press,7
Label,Tresor Records,1
Label,Poker Flat Recordings,1
Label,Arts,1
Label,Club Sweat,7
Label,Virgin EMI,2
Label,SPINNIN' RECORDS,12
Label,RAM Records,2
Label,Pets Recordings,4
Label,Tronic,8
Label,Iboga Records,1
Label,Renaissance Records,8
Label,Deeperfect,1
Label,Sol Selectas,5
Label,Odd Recordings,1
Label,Elektra France,1
Label,NONSTOP,3
Label,Who's Afraid Of 138?!,1
Label,Erase Records,3
Label,Casa Rossa,8
Label,NO ART (Armada Music),2
Label,Kompakt Extra,8
Label,Cajual,2
Label,Glasgow Underground,23
Label,Art Imitating Life,2
Label,Footwork,4
Label,Innervisions,7
Label,Diynamic,20
Label,Endless,1
Label,HEXAGON by Spinnin' Records,5
Label,Armada Music Albums,1
Label,Superfett Records,1
Label,Stereo Productions Catalog,2
Label,Bedrock Records,7
Label,Different,3
Label,Selador,3
Label,All Day I Dream,7
Label,Superfriends Records,3
Label,elrow Music,5
Label,Get Physical Music,3
Label,Filth on Acid,7
Label,Last Night On Earth,4
Label,In Trance We Trust,1
Label,Sony Music Entertainment,4
Label,Kraftek,8
Label,MicroHertz,3
Label,Anjunadeep,8
Label,Under No Illusion,3
Label,Revealed Recordings,7
Label,Magik Muzik,1
Label,SPINNIN' DEEP,3
Label,Knee Deep In Sound,7
Label,CYB3RPVNK,1
Label,Scander,1
Label,Subculture,2
Label,Protocol Recordings,2
Label,FSOE,5
Label,Pampa Records,10
Label,Musical Freedom,11
Label,Critical Music,3
Label,Parlophone France,5
Label,Repopulate Mars,8
Label,W&O Street Tracks,5
Label,SOLOTOKO,2
Label,Prison Entertainment,5
Label,Lost & Found,4
Label,DFTD,10
Label,Smash The House,3
Label,Armind (Armada),6
Label,Wired,1
Label,Audioporn,1
Label,Ninja Tune,4
Label,SPRS,3
Label,Kaisen Records,1
Label,Ultra,6
Label,Anjunabeats,1
Label,Phobiq,2
Label,Rekids,6
Label,Dim Mak Records,3
Label,Armada Music,6
Label,Etruria Beat,1
Label,Mad Decent,1
Label,Up Club Records,1
Label,Armada Subjekt,4
Label,Cocoon Recordings,5
Label,Green,2
Label,Next-Gen-Records,12
Label,Truesoul,6
Label,Heldeep Records,2
Label,Kompakt,3
Label,OZ Records,1
Label,Milk & Sugar,4
Label,We Are The Brave,3
Label,Saved Records,3
Label,Earstorm,1
Label,Eskimo Recordings,1
Label,Confession,1
Label,Soulfuric Trax,1
Label,Kneaded Pains,1
Label,This Ain't Bristol,1
Label,RADIANT.,3
Label,ORIGINS RCRDS,1
Label,Octopus Recordings,4
Label,Fuse London,2
Label,No Fuss Records,3
Label,RCA Records Label,7
Label,Mainstage Music,1
Label,Insert Coin,1
Label,Running Back,6
Label,PinkStar Records,2
Label,Monaberry,3
Label,Black Book Records,4
Label,Clash Lion,1
Label,Epic Amsterdam,6
Label,Subliminal,1
Label,International DeeJay Gigolo Records,1
Label,MoBlack Records,5
Label,Elevate Records (UK),1
Label,Atlantic Records,1
Label,Replug,1
Label,Objektivity,1
Label,Classic Music Company,3
Label,Dimension,1
Label,Respekt Recordings,2
Label,Autektone Records,1
Label,Bantwanas Kollektiv,1
Label,Electric Ballroom,4
Label,Fat Wax Recordings,1
Label,Moon Harbour Recordings,5
Label,Correspondant,3
Label,Urbana Recordings,2
Label,Resonance Records,3
Label,Terminal M,4
Label,Rebirth,1
Label,Soulfuric Deep,4
Label,Universal-Island Records Ltd.,5
Label,Intec,2
Label,Involve Records,2
Label,Kittball,4
Label,MTA Records,1
Label,Bad Boy Records,1
Label,Universal Music B.V.,2
Label,Yellow Productions,1
Label,Glitterbox Recordings,5
Label,A state of Trance,2
Label,Arkade,1
Label,fryhide,5
Label,VII,1
Label,IPSO,5
Label,Circus Recordings,6
Label,Phoenix Music Inc,5
Label,Tactical Records,9
Label,Mouseville,3
Label,Madhouse Records,1
Label,Dancepush,2
Label,Dharma (WMG),2
Label,Herd,1
Label,Rukus,1
Label,Maxximize,1
Label,Dutchie Music,2
Label,novamute,1
Label,Getahead Records,1
Label,Diversions Music,1
Label,DEL GADO REC,1
Label,Phantasy Sound / [PIAS],1
Label,SONO Music,2
Label,Outburst Records,1
Label,Four Thirty Two,1
Label,DJ Snake Music/Geffen Records,2
Label,Kearnage Recordings,1
Label,Catch & Release,5
Label,Kling Klong,3
Label,Cube Recordings,3
Label,Kryteria Records,3
Label,Jungle Funk Recordings,3
Label,Ellum Black,1
Label,Sweat It Out,5
Label,Astralwerks (US1A),1
Label,Rawtone Black,7
Label,Desert Hearts Records,1
Label,FFRR,2
Label,KATERMUKKE,1
Label,Hotflush Recordings,1
Label,Disco Halal,1
Label,Solar Distance,2
Label,Whitesquare Series,1
Label,Micronautics,1
Label,Hospital Records,1
Label,JAM,4
Label,Go Deeva Records,2
Label,Shake Recordings,1
Label,Monkey League,2
Label,Outta Limits,1
Label,Gem Records,1
Label,mau5trap,1
Label,Drum&BassArena,1
Label,Zoo Digital,1
Label,Stripped Down Records,1
Label,Exploited Club,1
Label,Toolroom Trax,1
Label,Ovum Recordings,1
Label,Harthouse,4
Label,Play It Say It,1
Label,Positiva,2
Label,17 Steps,1
Label,Brobot Records,3
Label,Astralwerks,1
Label,UKF,1
Label,ABODE Records,1
Label,Emerald City Music,1
Label,Systematic Recordings,1
Label,b1,1
Label,VANDIT Records,1
Label,Fe Chrome,1
Label,Distance Music,1
Label,Rumors,2
Label,TRANSA RECORDS,2
Label,OWSLA,1
Label,Rose Avenue/Reprise,1
Label,Greenmountain,2
Label,SOLIDE,2
Label,TAU,1
Label,Rubik's Recordings,2
Label,In.Toto,1
Label,Virgin,1
Label,Black Book Selects,1
Label,Scorpio Music (FR),1
Label,Symmetry Recordings,2
Label,Rave Culture,1
Label,Domino,1
Label,Large Music,1
Label,WEAPONS / Ministry of Sound Recordings,1
Label,Cin Cin,1
Label,Ellum,1
Label,Bassrush Records,1
Label,Transpecta,1
Label,Lenske,2
Label,Aus Music,1
Label,Black Sea Side Music,1
Label,JEAHMON! Records,1
Label,Insomniac Records,1
Label,Souped Up Records,1
Label,Playbox,1
Label,Freerange Records,1
Label,Noexcuse Records,1
Label,Huambo Records,1
Label,Set About,1
Label,Afterdark,1
Artist,Patrick Topping,4
Artist,Stephan Bodzin,3
Artist,Audiojack,5
Artist,Hidden Empire,6
Artist,PAWSA,5
Artist,Franky Rizardo,5
Artist,Thomas Schumacher,10
Artist,FISHER (OZ),15
Artist,Mat.Joe,3
Artist,DAVI,3
Artist,Definition,3
Artist,George Privatti,6
Artist,Guille Placencia,8
Artist,CamelPhat,21
Artist,Elderbrook,6
Artist,Leandro Da Silva,4
Artist,Aitor Ronda,2
Artist,Rodriguez Jr.,4
Artist,Gene Farris,3
Artist,Green Velvet,22
Artist,Funk The Beat,10
Artist,Eli Brown,8
Artist,Tiga,6
Artist,Fedde Le Grand,1
Artist,Ida Corr,1
Artist,Earth n Days,3
Artist,Dennis Cruz,13
Artist,95 North,2
Artist,Mason Maynard,9
Artist,Pryda,3
Artist,Blaze,2
Artist,Amine Edge & DANCE,2
Artist,Solee,4
Artist,Rhythm Masters,1
Artist,MYNC,1
Artist,Wynter Gordon,1
Artist,Harvey McKay,2
Artist,Amelie Lens,6
Artist,Philipp Gonzales,1
Artist,Rino(IO)DJ,1
Artist,Monolink,3
Artist,Gorgon City,3
Artist,Me & My Toothbrush,7
Artist,Felipe Avelar,1
Artist,Ryan Blyth,5
Artist,Nick Curly,2
Artist,Mella Dee,1
Artist,Mark Jenkyns,1
Artist,Mizbee,1
Artist,Kevin Andrews,3
Artist,Riva Starr,8
Artist,Block & Crown,26
Artist,Arjun Vagale,1
Artist,Damian Lazarus & The Ancient Moons,4
Artist,Shlomi Aber,1
