Type,Name,Count
Genre,Electro House,210
Genre,Deep House,192
Genre,Big Room,188
Genre,Tech House,176
Genre,Progressive House,55
Genre,Melodic House & Techno,12
Genre,House,98
Genre,Funky House,30
Genre,Dance / Electro Pop,30
Genre,Indie Dance,30
Genre,Nu Disco / Disco,3
Genre,Future House,72
Genre,Techno (Peak Time / Driving),72
Genre,DJ Tools,1
Genre,Trance (Main Floor),21
Genre,Trap / Wave,1
Genre,Dubstep,1
Genre,Trap / Future Bass,2
Genre,Drum & Bass,2
Genre,Electronica,1
Genre,Bass House,2
Genre,Breaks / Breakbeat / UK Bass,1
Label,Skint Records,3
Label,Kittball,7
Label,SPINNIN' RECORDS,119
Label,Pets Recordings,3
Label,Skink,7
Label,Protocol Recordings,18
Label,Hysteria Recs,6
Label,Life And Death,8
Label,PRMD,13
Label,Revealed Recordings (back catalog),47
Label,PPMUSIC,2
Label,Flamingo Recordings,6
Label,PornoStar Records,5
Label,LoudBit,8
Label,SPINNIN' DEEP,21
Label,Sleazy G,4
Label,Formatik,2
Label,Ultra,33
Label,Columbia (Sony),8
Label,Aus Music,5
Label,LouLou Records,6
Label,Musical Freedom,23
Label,Milk & Sugar,4
Label,Pryda Recordings,3
Label,Size Records,14
Label,Kraftek,2
Label,Santos Music,2
Label,Objektivity,3
Label,Hotflush Recordings,7
Label,Circus Recordings,2
Label,Suara,28
Label,Big Beat/Atlantic Records/Ninja Tune,1
Label,DOORN RECORDS,29
Label,Enormous Tunes,26
Label,Off Recordings,11
Label,Cr2 Records,4
Label,So Much Dada,2
Label,Drumcode,18
Label,Electronique NU,2
Label,Hot Creations,16
Label,Lovenest Records,3
Label,SPRS,20
Label,Sound Division,4
Label,OFF Spin,5
Label,Starside Records,2
Label,Crosstown Rebels,2
Label,Dim Mak Records,10
Label,Toolroom,16
Label,Hollister Records,1
Label,Terminal M,1
Label,Casa Rossa,3
Label,Samui Recordings,2
Label,Defected,23
Label,LE7ELS,4
Label,Erase Records,7
Label,Fly House Records,1
Label,Ellum,8
Label,SmallDog Records,1
Label,D.O.C.,2
Label,Chilli Mint Digital,2
Label,X Rec,1
Label,Cube Recordings,3
Label,Rising Music,4
Label,KMS Records,1
Label,What A Music,15
Label,Axtone Records,6
Label,Blasé Boys Club (VER LTD),1
Label,Hotfingers,8
Label,OWSLA,2
Label,Mixmash Records,6
Label,Juicy Music (Armada Music),3
Label,Vudu Records,2
Label,School Records,1
Label,A state of Trance,1
Label,100% Pure,2
Label,Lapsus Music,2
Label,Anjunabeats,11
Label,Basica Recordings,1
Label,Zulu Records,8
Label,AVOTRE,3
Label,Miniaturesrec,2
Label,Desolat,4
Label,Atlantic Records,2
Label,Enhanced Progressive,1
Label,Bootylicious,1
Label,Art & Music Recording,2
Label,Big Beat Records,6
Label,Mainstage Music,5
Label,Armind (Armada),10
Label,Armada Zouk,1
Label,Garuda,3
Label,Armada Trice,3
Label,Z Records,2
Label,6K Music (Armada),1
Label,Lollywood,1
Label,DIRTYBIRD,14
Label,303Lovers,4
Label,Exploited,10
Label,Systematic Recordings,1
Label,Great Stuff Recordings,1
Label,Xtravaganza,2
Label,Over,1
Label,Material,3
Label,Sphera Records,6
Label,Armada Music,3
Label,Onelove,1
Label,Octopus Recordings,3
Label,Virus T Studio Records,1
Label,Pop Rox Muzik,1
Label,Supernature,1
Label,Innervisions,6
Label,Yellow Productions,1
Label,Gate Null Recordings,1
Label,Keinemusik,6
Label,Stil Vor Talent,1
Label,Universal-Island Records Ltd.,3
Label,Hussle Recordings,3
Label,Smash The House,11
Label,Rumors,3
Label,OXYGEN,1
Label,Musical Noize,4
Label,Bonnies Records,1
Label,Smiley Fingers,6
Label,Vicious,3
Label,Mad Decent,2
Label,IBZ Records,1
Label,Preston Recordings,1
Label,Blaufield,1
Label,Virgin EMI,3
Label,Parlophone UK,2
Label,Monaberry,6
Label,Noir Music,11
Label,Twerkout Music,1
Label,Saved Records,5
Label,Whore House,7
Label,Cajual,4
Label,RCA/Sony Latin Iberia,1
Label,Get Physical Music,3
Label,1605,1
Label,Stickrecordings,2
Label,Re*Brand,1
Label,M Recordings (Armada),1
Label,InStereo Recordings,5
Label,2SONIC Records,1
Label,Glasgow Underground,1
Label,Gain Records,1
Label,Atlantic Records UK,4
Label,BOSO,7
Label,Kompakt,9
Label,Murk Records,1
Label,Diffused Music,1
Label,Homebrew Records,1
Label,Downright,1
Label,Musical Noize Deep,2
Label,Universal Music Group International,1
Label,Gruuv,3
Label,Roklyfe,1
Label,OWSLA / Big Beat,4
Label,DFTD,5
Label,Intec,2
Label,Rejected,4
Label,Paul Kalkbrenner Musik,2
Label,Metal & Dust Recordings Ltd,5
Label,Epic/MJJ,3
Label,Bpitch,2
Label,Refune Music,3
Label,Nonplus Records,2
Label,Anjunadeep,6
Label,mau5trap,5
Label,Warung Recordings,3
Label,Play It Say It,1
Label,Poker Flat Recordings,2
Label,Kinetika Records,3
Label,Metanoia Music,3
Label,FAKE MUSIC,1
Label,Guesthouse Music,1
Label,Sintope Digital,1
Label,CUFF,3
Label,DJ Center Records,2
Label,Harem Records,1
Label,Cr2 Underground,1
Label,Subculture,2
Label,Play It Down,3
Label,FFRR,13
Label,Bunny Tiger,6
Label,Minus,7
Label,Materialism,1
Label,SCI+TEC,6
Label,Moda Black,3
Label,Wall Recordings,1
Label,Alleanza,1
Label,Wake Your Mind Records (Armada),2
Label,Knee Deep In Sound,5
Label,d:vision,1
Label,Pampa Records,1
Label,Fly Eye Records,7
Label,17 Steps,6
Label,Real Time Records,5
Label,Kompakt Extra,3
Label,Monkeytown Records,3
Label,Mobilee Records,3
Label,Clarisse Records,3
Label,Diynamic,2
Label,Blackflag Recordings,2
Label,Tsuba,1
Label,Virgin Records Ltd,2
Label,Maeve,1
Label,Digital Distribution Palestinian Territory Occupied,1
Label,Mind of a Genius,2
Label,Born Electric,1
Label,Kid Coconut,2
Label,Last Night On Earth,1
Label,Flashover Recordings,1
Label,Spinnin' Remixes,5
Label,Relief,6
Label,Prime Numbers,1
Label,Young Alaska,1
Label,Tronic,1
Label,Hit The Club,1
Label,WOLV,2
Label,City Slang,2
Label,8Bit,1
Label,ELEVATE,1
Label,Vision Recordings,1
Label,XL Recordings,1
Label,Magik Muzik,1
Label,Polydor (UK),3
Label,One More Tune (OMT),2
Label,Latium Records/RCA Records,1
Label,Hedonism Music,1
Label,Ideal Audio,1
Label,96 Musique,3
Label,Armada Captivating,1
Label,Different Attitudes,1
Label,Ego,1
Label,Joy Records,1
Label,Danse Club Records (Back Catalog),1
Label,Trax Records,1
Label,Yoshitoshi Recordings,4
Label,Prison Entertainment,2
Label,Cocoon Recordings,1
Label,Mouseville,1
Label,My Favorite Robot Records,1
Label,Bedrock Records,1
Label,Go Deeva Records,4
Label,Midication Records,1
Label,Earstorm,1
Label,Delicieuse Records,1
Label,Hot Cakes,1
Label,Truesoul,2
Label,Pets Edits,1
Label,Arkade,1
Label,Universal Music,1
Label,No Definition,1
Label,Dirty Soul Music (Be Yourself Music),1
Label,Cloud Nine Recordings,1
Label,Atlantic Jaxx,1
Label,HK Records,1
Label,Definition:Music,1
Label,Rebirth,1
Label,Tuskegee,1
Label,Stereo Productions Catalog,1
Artist,Fatboy Slim,4
Artist,Juliet Sikora,3
Artist,Tube & Berger,4
Artist,Martin Garrix,17
Artist,Jay Hardway,6
Artist,Thomas Schumacher,3
Artist,Chuckie,1
Artist,GLOWINTHEDARK,1
Artist,Showtek,10
Artist,Lucky Date,3
Artist,R3HAB,21
Artist,Henry Fong,4
Artist,MAKJ,6
Artist,Ten Walls,10
Artist,Avicii,13
Artist,Mako,1
Artist,DJ PP,2
Artist,Fedde Le Grand,7
Artist,Di-Rect,3
Artist,Dave Aude,1
Artist,Crazibiza,1
Artist,VASSY,1
Artist,ARTY,1
Artist,Matisse & Sadko,2
Artist,Criminal Vibes,4
Artist,Parra for Cuva,4
Artist,Anna Naklab,4
Artist,JoeySuki,1
Artist,Kill The Buzz,2
Artist,Amine Edge,3
Artist,Dance,3
Artist,Ummet Ozcan,11
Artist,NERVO,12
Artist,Format:B,2
Artist,Steve Aoki,5
Artist,Calvin Harris,12
Artist,Hurts,1
Artist,Alesso,3
Artist,Hard Rock Sofa,5
Artist,Eva Shaw,2
Artist,Gallo,2
Artist,Alaia,2
Artist,Dusky,10
Artist,The Beatangers,9
Artist,twoloud,4
Artist,Lissat & Voltaxx,2
Artist,Marc Fisher,2
Artist,Pryda,1
Artist,Arno Cost,3
Artist,Greg Cerrone,1
Artist,Josh Butler,3
Artist,Simone Vitullo,4
Artist,Do Santos,2
Artist,Jazzanova,2
Artist,Ben Westbeech,2
Artist,Dense & Pika,2
Artist,Green Velvet,8
Artist,Veerus,6
Artist,Maxie Devine,6
Artist,Andreya Triana,1
Artist,Breach,2
Artist,Yves V,3
Artist,Oliver Heldens,15
Artist,EDX,9
Artist,Jay Lumen,7
Artist,Nile Rodgers,2
Artist,Dada Life,2
Artist,Harvey McKay,4
Artist,Amber Jolene,2
Artist,Nolan,2
Artist,Kevin Knapp,2
Artist,Richy Ahmed,2
Artist,Master Freez,1
Artist,Absolut Groovers,4
Artist,Starkillers,1
Artist,Inpetto,1
Artist,Alvaro,3
Artist,Quintino,5
Artist,Stefano Amalfi,1
Artist,Robbie Groove,1
Artist,Cedric Gervais,2
Artist,CID,3
Artist,Hardwell,7
Artist,Matthew Koma,5
Artist,Purple Disco Machine,5
Artist,Sander Van Doorn,10
Artist,Luca Cassani,2
Artist,Ivan Gough,3
Artist,Beverley Knight,2
Artist,Akami,1
Artist,Mavvrick,1
Artist,Playin' Fields,1
Artist,Mathew Jonson,1
Artist,Deorro,10
Artist,Dzeko & Torres,2
Artist,Huxley,2
Artist,Rene Amesz,1
Artist,Christian Vlad,1
Artist,Vincent Lupo,1
Artist,Luigi Madonna,2
Artist,Tale Of Us,1
Artist,Vaal,1
Artist,Dosem,5
Artist,Dimitri Vegas,11
Artist,Like Mike,10
Artist,DVBBS,9
Artist,Borgeous,7
Artist,Thomas Newson,4
Artist,New World Sound,5
Artist,Masker,1
Artist,Pig&Dan,2
