Type,Name,Count
Genre,Electro House,142
Genre,Big Room,140
Genre,Future House,160
Genre,Deep House,151
Genre,Melodic House & Techno,20
Genre,Tech House,246
Genre,Techno (Peak Time / Driving),127
Genre,Dance / Electro Pop,54
Genre,House,65
Genre,Bass House,9
Genre,Funky House,33
Genre,Trance (Main Floor),16
Genre,Indie Dance,6
Genre,Progressive House,24
Genre,Drum & Bass,3
Genre,Hard Dance / Hardcore,1
Genre,Electronica,2
Genre,Nu Disco / Disco,1
Label,Revealed Recordings (back catalog),44
Label,Axtone Records,6
Label,Atlantic Records UK,2
Label,SPINNIN' RECORDS,112
Label,DOORN RECORDS,20
Label,17 Steps,4
Label,Ellum,4
Label,Dog Triumph,3
Label,Yoshitoshi Recordings,5
Label,Fly Eye Records,8
Label,Prison Entertainment,4
Label,Armada Music,5
Label,Skink,8
Label,Drumcode,32
Label,Snatch! Records,10
Label,SPINNIN' DEEP,59
Label,Defected,14
Label,96 Musique,3
Label,Be One Records,3
Label,Digital Distribution Palestinian Territory Occupied,1
Label,Noir Music,13
Label,City Slang,1
Label,Rumors,3
Label,Ultra,26
Label,WOLV,2
Label,mau5trap,2
Label,Casa Rossa,6
Label,No Definition,17
Label,Enormous Tunes,49
Label,Life And Death,9
Label,Eglo Records,1
Label,Play It Down,2
Label,Infectious Music,1
Label,Bunny Tiger,3
Label,Toolroom,39
Label,Virgin EMI,3
Label,Wall Recordings,4
Label,DIRTYBIRD,14
Label,Hottrax,5
Label,Kittball,11
Label,Go Deeva Records,3
Label,Protocol Recordings,12
Label,LoudBit,4
Label,SCI+TEC,1
Label,Innervisions,6
Label,FFRR,1
Label,Saved Records,10
Label,Dirty Dutch Music,2
Label,Exploited,13
Label,Mother Recordings,8
Label,Relief,9
Label,1605,5
Label,303Lovers,1
Label,Black Butter Records,5
Label,PRMD,5
Label,Poker Flat Recordings,2
Label,Incorrect,5
Label,BOSO,3
Label,Hot Creations,14
Label,Formatik,3
Label,Erase Records,2
Label,LouLou Records,3
Label,Kanzleramt,1
Label,Monaberry,4
Label,Musical Freedom,31
Label,MUTE,3
Label,What A Music,4
Label,Mainstage Music,7
Label,Mixmash Records,7
Label,Darklight Recordings (Armada),4
Label,PornoStar Records,3
Label,Dirty Soul Music (Be Yourself Music),2
Label,Smash The House,10
Label,Size Records,5
Label,Armada Trice,6
Label,Natura Viva,2
Label,So Much Dada,1
Label,Mobilee Records,2
Label,Anjunabeats,7
Label,Kompakt,9
Label,Poesie Musik,1
Label,Spinnin' Remixes,14
Label,Toolroom Trax,1
Label,Starside Records,1
Label,Suara,33
Label,Get Physical Music,6
Label,Circus Recordings,1
Label,Fjordin,1
Label,RUN DBN,1
Label,Kompakt Extra,2
Label,OXYGEN,4
Label,Tazmania Records (Back Catalogue),1
Label,PopArt,1
Label,Pryda Recordings,5
Label,Polydor Associated Labels,2
Label,Hussle Recordings,3
Label,Dim Mak Records,4
Label,Domino,1
Label,Aus Music,6
Label,d:vision,2
Label,Cajual,8
Label,Anjunadeep,3
Label,Off Recordings,2
Label,DECIDE,1
Label,100% Pure,5
Label,Last Night On Earth,6
Label,Wake Your Mind Records (Armada),1
Label,Armind (Armada),3
Label,MTA Records,3
Label,Hotflush Recordings,3
Label,Octopus Recordings,2
Label,Stereo Productions Catalog,8
Label,Onelove,1
Label,Sole Channel Music,2
Label,Subculture,1
Label,Knee Deep In Sound,2
Label,Universal Music Division Decca Records France,4
Label,HEXAGON by Spinnin' Records,7
Label,Bpitch,3
Label,Blaufield,2
Label,Refune Music,6
Label,Minus,7
Label,Method White,4
Label,Terminal M,7
Label,Fluo,1
Label,Monkeytown Records,1
Label,8Bit,5
Label,ICONS,1
Label,BMKLTSCH RCRDS,1
Label,Deeperfect,4
Label,Azuli Records,3
Label,Three Six Zero/Warner Bros.,1
Label,Art & Music Recording,2
Label,Objektivity,4
Label,Pandamoniam,1
Label,GURU,1
Label,Moon Harbour Recordings,3
Label,OWSLA,2
Label,Henry Street Music,1
Label,Le Club Records,1
Label,Running Back,3
Label,Liquid Recordings,1
Label,Bedrock Records,2
Label,Ritter Butzke Studio,1
Label,Rising Music,3
Label,Pets Recordings,4
Label,Emerald City Music,2
Label,fformat records,1
Label,No.19 Music,1
Label,Tronic,3
Label,Intacto,1
Label,Turbo Recordings,1
Label,Magazine,1
Label,Kraftek,2
Label,Bourne Recordings,1
Label,Something Happening Somewhere,1
Label,Shanti Radio Moscow,1
Label,Diynamic,10
Label,Big Beat Records,2
Label,Warner Records/Arkade,1
Label,Keinemusik,5
Label,DFTD,4
Label,Sweat It Out,3
Label,SPRS,7
Label,Tuskegee,1
Label,G-Mafia Records,1
Label,Green,1
Label,Systematic Recordings,3
Label,Intec,2
Label,Tiger Records,3
Label,Nurvous Records,2
Label,Blaufield Music,1
Label,Flamingo Recordings,2
Label,Universal-Island Records Ltd.,6
Label,Ego,3
Label,Freerange Records,2
Label,Potion,1
Label,Pampa Records,3
Label,Guesthouse Music,2
Label,Magik Muzik,1
Label,Form,2
Label,Cr2 Records,1
Label,Basement Leak,1
Label,CFP Records,1
Label,Noisetraxx,1
Label,Flashover Recordings,1
Label,OWSLA/Mad Decent,1
Label,BeLove,1
Label,Positiva,1
Label,Cocoon Recordings,2
Label,This Ain't Bristol,2
Label,Heldeep Records,3
Label,Play It Again Sam,4
Label,Trip,3
Label,Truesoul,8
Label,Enhanced Recordings,1
Label,Playmobil,1
Label,Great Stuff Recordings,1
Label,Moda Black,3
Label,Future Sound of Egypt,2
Label,Ultramajic,2
Label,Crosstown Rebels,4
Label,Columbia (Sony),6
Label,Parlophone UK,1
Label,Def Jam,1
Label,SNOE,1
Label,Rebellion,1
Label,Simma Black,4
Label,Kaisen Records,1
Label,Metanoia Music,1
Label,All Day I Dream,1
Label,Familia,1
Label,Audioporn,1
Label,Alleanza,3
Label,Tonspiel,3
Label,Sony Music CG,1
Label,InStereo Recordings,4
Label,Milk & Sugar,1
Label,Definitive Recordings,2
Label,Sleazy G,2
Label,Double Six Records,1
Label,Disruptor Records/Columbia,1
Label,Cube Recordings,2
Label,Hive Audio,1
Label,Upon You Records,1
Label,Second State,1
Label,Play It Say It,1
Label,Stil Vor Talent,2
Label,Ovum Recordings,2
Label,KD RAW,1
Label,Sudbeat Music,2
Label,Whistleblower Records,2
Label,Who's Afraid Of 138?!,1
Label,Do Not Sleep,1
Label,Rebirth,1
Label,Earstorm/Big Beat Records,2
Label,R&S Records,2
Label,Aeon,1
Label,CUFF,1
Label,Unity Records,1
Label,Ministry of Sound (UK),1
Artist,Fatman Scoop,2
Artist,Hardwell,14
Artist,W&W,7
Artist,Axwell /\ Ingrosso,9
Artist,Ed Sheeran,2
Artist,R3HAB,8
Artist,KSHMR,13
Artist,Michael Calfan,6
Artist,MEM,3
Artist,Dusky,4
Artist,Gabriel Ananda,3
Artist,Maceo Plex,9
Artist,Royksopp,3
Artist,Alcatraz,4
Artist,Ummet Ozcan,9
Artist,Calvin Harris,8
Artist,Natema,2
Artist,Mason,3
Artist,Showtek,3
Artist,Astin,2
Artist,SRTW,2
Artist,Sander Kleinenberg,2
Artist,Gwen Mccrae,1
Artist,Hercules & Love Affair,3
Artist,The Avener,3
Artist,Miguel Bastida,5
Artist,Lucas & Steve,5
Artist,Bethany,2
Artist,Chocolate Puma,3
Artist,Firebeatz,7
Artist,Merk & Kremont,4
Artist,Bongom,1
Artist,Alesso,2
Artist,Tove Lo,1
Artist,Eddie Amador,1
Artist,Jay Lumen,10
Artist,Caribou,1
Artist,Alpharock,4
Artist,Martin Buttrich,1
Artist,Konrad Black,1
Artist,SYF,2
Artist,Curses,2
Artist,DKDS,2
Artist,Bassjackers,8
Artist,Dyro,2
Artist,Kaskade,2
Artist,deadmau5,2
Artist,Code3000,3
Artist,Lika Morgan,8
Artist,EDX,4
Artist,Mind Against,4
Artist,Dr. Kucho!,1
Artist,Floating Points,1
Artist,Christian Nielsen,1
Artist,The Acid,1
Artist,Luigi Madonna,2
Artist,Sharam Jey,2
Artist,Daniel Fernandes,2
Artist,Mike Mago,1
Artist,Hannah Wants,1
Artist,Chris Lorenzo,2
Artist,Henry Krinkle,1
Artist,Sandy Rivera,1
Artist,April,1
Artist,Artistic Raw,1
Artist,Dzeko & Torres,5
Artist,MOTi,8
Artist,Sam Paganini,3
Artist,Sonny Fodera,7
Artist,Bunte Bummler,1
Artist,Veerus,2
Artist,Maxie Devine,2
Artist,Sonic Future,1
Artist,Tom Swoon,4
Artist,Rico & Miella,2
Artist,Stadiumx,1
Artist,Criminal Vibes,1
Artist,Miss Kittin,1
