Type,Name,Count
Genre,House,78
Genre,Big Room,122
Genre,Future House,146
Genre,Electro House,66
Genre,Tech House,302
Genre,Afro House,6
Genre,Funky House,82
Genre,Techno (Peak Time / Driving),164
Genre,Deep House,68
Genre,Dance / Electro Pop,53
Genre,Melodic House & Techno,47
Genre,DJ Tools,2
Genre,Nu Disco / Disco,6
Genre,Progressive House,12
Genre,Electronica,2
Genre,Bass House,6
Genre,Dubstep,2
Genre,Trance (Main Floor),17
Genre,Drum & Bass,5
Genre,Indie Dance,9
Genre,Psy-Trance,3
Genre,Hard Dance / Hardcore,2
Label,Riton Time,3
Label,Mainstage Music,9
Label,SPINNIN' RECORDS,96
Label,Ultra,7
Label,Relief,11
Label,Innervisions,12
Label,Musical Freedom,26
Label,Get Physical Music,8
Label,Spinnin' Remixes,8
Label,Suara,41
Label,Protocol Recordings,3
Label,Cube Recordings,6
Label,Drumcode,42
Label,Kittball,11
Label,Revealed Recordings (back catalog),27
Label,Mother Recordings,7
Label,Formatik,7
Label,PornoStar Records,14
Label,Defected,35
Label,Kaisen Records,2
Label,No Definition,10
Label,8Bit,9
Label,Alleanza,1
Label,Heldeep Records,8
Label,Enormous Tunes,40
Label,SPRS,7
Label,Diynamic,14
Label,SPINNIN' DEEP,40
Label,Universal-Island Records Ltd.,2
Label,Second State,5
Label,Snatch! Records,18
Label,Toolroom,26
Label,Stil Vor Talent,14
Label,Elogikal,1
Label,Truesoul,18
Label,Ministry of Sound (UK),2
Label,Kompakt Extra,6
Label,Herzblut Recordings,1
Label,Mouseville,4
Label,Fly Eye Records,5
Label,2DIY4,1
Label,Crosstown Rebels,17
Label,Method White,3
Label,Size Records,1
Label,Darklight Recordings (Armada),7
Label,Terminal M,7
Label,Tasty Recordings,1
Label,Lapsus Music,1
Label,Leena Music,1
Label,WEITER,1
Label,Soma Records,5
Label,ABCDEEP Records,3
Label,Ovum Recordings,1
Label,Flamingo Recordings,2
Label,InStereo Recordings,13
Label,Maya Records,2
Label,Cubrik,1
Label,Yoshitoshi Recordings,2
Label,Tonspiel,1
Label,Toolroom Trax,6
Label,Aus Music,1
Label,HEXAGON by Spinnin' Records,11
Label,Tronic,9
Label,DOORN RECORDS,18
Label,OWSLA/Atlantic,1
Label,OXYGEN,2
Label,DIRTYBIRD,5
Label,Pets Recordings,2
Label,Wall Recordings,4
Label,Maxximize,6
Label,Zulu Records,1
Label,Exploited,5
Label,Deeperfect,15
Label,Universal Music,2
Label,Monkey Island,2
Label,Armada Trice,2
Label,Nurvous Records,2
Label,Armind (Armada),3
Label,Electric Ballroom,4
Label,Mobilee Records,4
Label,Footwork,4
Label,Set About,1
Label,Stereo Productions Catalog,3
Label,Hot Creations,17
Label,AVOTRE,1
Label,Sweat It Out,1
Label,Anjunabeats,4
Label,Technique Recordings,1
Label,A state of Trance,1
Label,Indiana Tones,1
Label,Cocoon Recordings,3
Label,Fayer,1
Label,MOOD,1
Label,Smash The House,11
Label,Atlantic Records UK,2
Label,Saved Records,2
Label,Rukus,5
Label,1605,4
Label,Counter Records,2
Label,Ellum,6
Label,Fonk Recordings,1
Label,Noir Music,4
Label,Prison Entertainment,11
Label,Anjunadeep,5
Label,Kinetika Records,1
Label,Objektivity,2
Label,Erase Records,5
Label,Suruba X,4
Label,Kling Klong,2
Label,Iboga Records,1
Label,Hypercolour,2
Label,Dim Mak Records,1
Label,TMTR,2
Label,Up Club Records,1
Label,Hussle Recordings,1
Label,Subculture,1
Label,NEXT3,1
Label,Epic,1
Label,RAM Records,2
Label,Critical Music,1
Label,Who's Afraid Of 138?!,2
Label,SOURCE,1
Label,Solid Grooves Records,3
Label,Smiley Fingers,3
Label,Octopus Recordings,2
Label,DFTD,5
Label,Axtone Records,7
Label,Exploited Club,2
Label,Hotflush Recordings,3
Label,Last Night On Earth,6
Label,Bedrock Records,3
Label,Z Records,4
Label,100% Pure,1
Label,Flashover Recordings,2
Label,Be One Records,2
Label,Glasgow Underground,1
Label,Wake Your Mind Records,1
Label,Cajual,4
Label,Garuda,1
Label,Suruba,1
Label,Big Beat Records,8
Label,Unrilis,4
Label,LOFT Records,2
Label,Circus Recordings,3
Label,Cityfox,4
Label,Soul Heaven Records,3
Label,Heavenly Bodies,2
Label,KATERMUKKE,2
Label,Repopulate Mars,1
Label,Under Town Records,1
Label,Wow! Recordings,4
Label,Playbox,1
Label,Oryx Music,1
Label,Figure,1
Label,Milk & Sugar,3
Label,Samui Recordings,6
Label,Spectral Sound,1
Label,Refune Music,1
Label,Virgin EMI,8
Label,Running Back,2
Label,Lossless,1
Label,Stickrecordings,1
Label,Freerange Records,2
Label,Knee Deep In Sound,10
Label,AFTR:HRS,2
Label,Cuttin' Headz,2
Label,IPSO,1
Label,Pampa Records,2
Label,Edible,2
Label,In Trance We Trust,1
Label,Armada Music,3
Label,Rebellion,1
Label,This Ain't Bristol,1
Label,LoudBit,1
Label,Strange Idols,2
Label,Moon Harbour Recordings,5
Label,Graded Records,1
Label,Sudbeat Music,2
Label,Systematic Recordings,6
Label,Pacha Recordings,4
Label,Bourne Recordings,3
Label,MUTE,2
Label,What A Music,1
Label,Sinitation Records,1
Label,Lost Records,2
Label,Intec,1
Label,Disco Revenge,2
Label,d:vision,2
Label,Digital Distribution Palestinian Territory Occupied,1
Label,REDIMENSION,1
Label,Material,2
Label,Enhanced Recordings,2
Label,Rejected,1
Label,Green,2
Label,Music Man Records,1
Label,This Never Happened,2
Label,Hommage,4
Label,VII,1
Label,Bass Culture Records,3
Label,Kompakt,1
Label,disco:wax (Sony),1
Label,WAA Industry,1
Label,HEXAGON,3
Label,Senso Sounds,9
Label,Positiva,3
Label,Golden,3
Label,Which Bottle?,2
Label,Cartel Music,2
Label,Up-Tempo Records,2
Label,FSOE,2
Label,Soleado Recordings,1
Label,Hottrax,3
Label,Domino,2
Label,Monkeytown Records,1
Label,Mixmash Records,1
Label,Criminal Hype,3
Label,Bunny Tiger,3
Label,Olsen Records,2
Label,Get Weird,1
Label,Permanent Vacation,1
Label,Kearnage Recordings,1
Label,Club Sweat,1
Label,elrow Music,2
Label,We Are The Brave,1
Label,Keinemusik,2
Label,Lemon-aid Music,1
Label,Skink,1
Label,Cr2 Records,1
Label,Lower East,1
Label,Definitive Recordings,1
Label,Emerald City Music,2
Label,FFRR,4
Label,Sol Selectas,2
Label,SOLIDE,2
Label,Toy Tonics,2
Label,Southern Fried Records,2
Label,NONSTOP,2
Label,Rumors,2
Label,All Day I Dream,1
Label,XL Recordings,1
Label,Watergate Records,1
Label,Confession,1
Label,Hospital Records,1
Label,Blaufield M10,2
Label,Rekids,1
Label,Late Night Tales,1
Label,SCI+TEC,1
Label,No Brainer Records,1
Label,Parlophone France,1
Label,Feel My Bicep,1
Label,Sodai,1
Label,Nettwerk,1
Label,Mr. Nice Guy,1
Label,Pryda Recordings,2
Label,The Echo Label Limited,1
Label,mau5trap,1
Label,Play It Say It,1
Label,Spinnin' Premium,1
Label,WHATIPLAY,1
Label,Kraftek,1
Label,Parlophone UK,1
Label,Solid State Disco,1
Artist,Riton,3
Artist,Kah-lo,3
Artist,Armin van Buuren,3
Artist,W&W,9
Artist,Jungle Brothers,1
Artist,Don Diablo,8
Artist,Martha Wash,1
Artist,Showtek,2
Artist,Eva Shaw,2
Artist,Earth,2
Artist,Wind & Fire,2
Artist,Throttle,5
Artist,Green Velvet,13
Artist,Patrick Topping,5
Artist,Dele Sosimi Afrobeat Orchestra,2
Artist,Tiesto,4
Artist,Tony Junior,3
Artist,Roland Clark,7
Artist,DJ Le Roi,4
Artist,KSHMR,9
Artist,Marnik,3
Artist,Martin Solveig,4
Artist,Sam White,2
Artist,Wade,8
Artist,Nicky Romero,3
Artist,Stadiumx,3
Artist,Miami Dub Machine,2
Artist,Mark Reeve,5
Artist,Purple Disco Machine,6
Artist,R3HAB,6
Artist,Mat.Joe,11
Artist,Raumakustik,7
Artist,Luca Debonaire,4
Artist,Sonny Fodera,6
Artist,Yasmin,3
Artist,Yuga,2
Artist,Me & My Toothbrush,9
Artist,Michael Calfan,3
Artist,Gorge,7
Artist,Prok & Fitch,7
Artist,DJ Boris,1
Artist,HI-LO,3
Artist,Nytron,13
Artist,Sugar Hill,11
Artist,Nora En Pure,16
Artist,Norman Doray,1
Artist,Kollektiv Turmstrasse,6
Artist,Dr. Kucho!,2
Artist,Gregor Salto,3
Artist,Lucas & Steve,10
Artist,Sam Smith,1
Artist,Disclosure,2
Artist,Firebeatz,4
Artist,Jay Hardway,3
Artist,Pan-Pot,5
Artist,Astin,1
Artist,Waveshape,1
Artist,Khrebto,1
Artist,Technasia,1
Artist,Oliver Koletzki,2
Artist,DJ X-Change,1
Artist,Hot Since 82,3
Artist,Sugarstarr,1
Artist,Alexander (IT),1
Artist,Format:B,5
Artist,Superlover,5
Artist,3 Channels,1
Artist,Stephan Bodzin,7
Artist,Redondo,5
Artist,CamelPhat,7
Artist,CIREZ D,4
Artist,Borgeous,1
Artist,Zaeden,1
Artist,twoloud,4
Artist,Konih,2
Artist,Quintino,4
Artist,Yves V,3
Artist,Gia Koka,1
Artist,SICK INDIVIDUALS,4
Artist,Ante Perry,1
Artist,Tube & Berger,4
Artist,The Temper Trap,1
Artist,Damian Lazarus,5
Artist,Damian Lazarus & The Ancient Moons,5
Artist,Tiga,3
Artist,Ron Costa,2
Artist,Eats Everything,6
Artist,Audion,2
Artist,Simon De Jano,1
Artist,Still Young,1
Artist,Madwill,1
Artist,Fedde Le Grand,7
Artist,Holl & Rush,2
Artist,Stefano Noferini,5
Artist,Metodi Hristov,4
Artist,Platinum Doug,2
Artist,Pele,1
Artist,Shawnecy,1
Artist,Giacca & Flores,2
Artist,Sander Van Doorn,6
Artist,Pep & Rash,2
Artist,Discotron,1
Artist,Leftwing : Kody,1
Artist,Eelke Kleijn,1
Artist,Arjuna Schiks,1
Artist,"Olivier Weiter,",1
Artist,Riva Starr,10
Artist,Slam,3
Artist,Noisy Bears,3
Artist,DJ Dozia,1
Artist,Dropgun,2
Artist,Slideback,1
Artist,Philippe B,1
Artist,Joeski,3
Artist,Dirty Funker,1
Artist,Eddie Amador,2
Artist,Robin Schulz,1
Artist,Francesco Yates,1
Artist,Headhunterz,3
Artist,Crystal Lake,2
Artist,"Reunify,",1
Artist,A-Trak,1
Artist,ZooFunktion,1
Artist,Mark Knight,8
Artist,Adrian Hour,4
Artist,Sandrino,2
Artist,Frankey & Sandrino,1
Artist,Frankey,2
Artist,Rene Amesz,5
Artist,Bicep,1
Artist,Toby Green,1
Artist,Kevin Over,1
Artist,Fat Sushi,1
Artist,Kaiserdisco,4
Artist,Ephwurd,2
Artist,Jewelz & Sparks,3
Artist,Nick Martin,1
Artist,GTA,1
Artist,Sam Bruno,1
Artist,Afrojack,1
Artist,Hardwell,11
Artist,Sash!,2
Artist,Olly James,4
Artist,Gershon Jackson,5
Artist,Oliver Heldens,3
Artist,Keanu Silva,3
Artist,Junior J,2
Artist,Merk & Kremont,5
Artist,Madison Mars,3
Artist,Sidney Charles,5
Artist,Ostblockschlampen,1
Artist,Claude VonStroke,2
Artist,Get Real,2
Artist,Ummet Ozcan,9
Artist,Lane 8,3
