Type,Name,Count
Genre,Tech House,229
Genre,Melodic House & Techno,173
Genre,Bass House,22
Genre,Funky House,57
Genre,Dance / Electro Pop,34
Genre,Techno (Peak Time / Driving),166
Genre,House,167
Genre,Nu Disco / Disco,33
Genre,Future House,4
Genre,Drum & Bass,90
Genre,Progressive House,45
Genre,Minimal / Deep Tech,29
Genre,Afro House,16
Genre,Deep House,49
Genre,DJ Tools,1
Genre,Indie Dance,13
Genre,Electro House,2
Genre,Trance (Main Floor),31
Genre,UK Garage / Bassline,1
Genre,Breaks / Breakbeat / UK Bass,4
Genre,Techno (Raw / Deep / Hypnotic),5
Genre,Electronica,6
Genre,Big Room,5
Genre,Organic House / Downtempo,17
Genre,Hard Techno,1
Label,Club Sweat,17
Label,fryhide,8
Label,La Luna Records,8
Label,Ultra,16
Label,Hot Creations,13
Label,Higher Ground (Mad Decent),10
Label,Cr2 Records,10
Label,Afterlife Records,17
Label,Next-Gen-Records,16
Label,Warner Records,3
Label,Rawthentic,1
Label,Filth on Acid,14
Label,Renaissance Records,5
Label,Defected,44
Label,Catch & Release,12
Label,Vicious,5
Label,Ministry of Sound Recordings,7
Label,Plus 8 Records,1
Label,Say What?,8
Label,Sola,10
Label,RCA Records Label,17
Label,Blaufield Music,2
Label,Prison Entertainment,9
Label,Black Book Records,14
Label,Glasgow Underground,21
Label,Cube Recordings,6
Label,Kraftek,2
Label,Virgin,3
Label,Orange Recordings,1
Label,b1,2
Label,PornoStar Records,14
Label,Drumcode,34
Label,Total Freedom +,4
Label,REALM,2
Label,Critical Music,7
Label,Footwork,3
Label,1605,21
Label,Embassy One,8
Label,Loaded Records,5
Label,Low:Res,3
Label,Solid Grooves Records,8
Label,Columbia (Sony),3
Label,SPINNIN' RECORDS,3
Label,Crosstown Rebels,11
Label,Downtown Underground,2
Label,Keinemusik,6
Label,Deeperfect,1
Label,Baikonur Recordings,1
Label,Sweat It Out,5
Label,Saved Records,6
Label,Tactical Records,10
Label,Toolroom,37
Label,Big Top Amsterdam,1
Label,VOD,3
Label,8Bit,8
Label,Fe Chrome,5
Label,X-Change Music,1
Label,Glitterbox Recordings,3
Label,NO ART,4
Label,Informal,1
Label,Gudu Records,1
Label,Diynamic,8
Label,Cuttin' Headz,2
Label,Tribal Kitchen,2
Label,Senso Sounds,1
Label,Terminal M,11
Label,Maxximize,1
Label,Parlophone (France),3
Label,Hive Audio,1
Label,Repopulate Mars,7
Label,RAM Records,2
Label,Kontor Records,5
Label,CLNE,4
Label,Anjunabeats,12
Label,Hospital Records,9
Label,Cocoon Recordings,2
Label,Timeless Moment,4
Label,Omerta,6
Label,Musical Freedom,7
Label,Nothing Else Matters,6
Label,Stride,4
Label,IAMT,2
Label,DIRTYBIRD,5
Label,Let There Be House Records,1
Label,No Fuss Records,2
Label,Confession,4
Label,Strictly Rhythm,2
Label,SOLOTOKO,13
Label,Playaz,1
Label,Heldeep Records,6
Label,Lost & Found,7
Label,Panterre Musique,2
Label,Stil Vor Talent,4
Label,Toolroom Trax,2
Label,Chronic,1
Label,Text Records,1
Label,Virgin EMI,2
Label,HEXAGON,2
Label,Rukus,1
Label,DNB Allstars Records,4
Label,Autektone Records,1
Label,Go Deeva Records,1
Label,Stereo Productions Catalog,1
Label,Blue Shadow,1
Label,Afterdark,1
Label,Riggins Recording/Interscope Records/Island Records,2
Label,Altra Moda,5
Label,Knee Deep In Sound,5
Label,DFTD,6
Label,Innervisions,4
Label,FFRR,5
Label,La Pera Records,4
Label,Spectrum (NL),4
Label,Phobiq,2
Label,Armind (Armada),6
Label,Duck Sauce,1
Label,CODE Group,1
Label,VII,3
Label,ZEHN Records,1
Label,Poker Flat Recordings,1
Label,PIV,2
Label,Correspondant,1
Label,Snatch! Records,1
Label,Audioporn,1
Label,Truesoul,3
Label,Symmetry Recordings,4
Label,Get Twisted Records,1
Label,TAU,2
Label,Serial Killaz,2
Label,Be Free Recordings,1
Label,META,1
Label,Divided Souls,1
Label,Soma Records,1
Label,Mood Funk Records,1
Label,Different,8
Label,HouseU,10
Label,Catch & Release/Astralwerks,4
Label,Moon Harbour Recordings,8
Label,Ninja Tune,5
Label,All Day I Dream,6
Label,Armada Electronic Elements,3
Label,AnalyticTrail,2
Label,Southern Fried Records,1
Label,Lovejuice Records,5
Label,Solid Grooves Raw,11
Label,Armada Deep,1
Label,Relief,3
Label,Rose Avenue Records,1
Label,Anjunadeep,19
Label,Rekids,3
Label,Music To Dance To Records,2
Label,GOLFO TRAXX,1
Label,Classic Music Company,5
Label,Mobilee Records,3
Label,Watergate Records,5
Label,Perfekt Groove Recordings,8
Label,Yellow Productions,1
Label,Obsolete Medium,1
Label,Ampersand,1
Label,Overview Music,2
Label,Basement Leak,1
Label,Human By Default,1
Label,Z Records,2
Label,Create Music Group,1
Label,Octopus Recordings,2
Label,Suara,1
Label,Vision Recordings,1
Label,Polydor Records,1
Label,Jungle Cakes,5
Label,Positiva,1
Label,SPINNIN' DEEP,8
Label,Armada Subjekt,2
Label,Armada Music,7
Label,All We Have Is Now,2
Label,V Recordings,4
Label,Multinotes,1
Label,The North Quarter,1
Label,Resonance Records,2
Label,There Was Jack,7
Label,Figure,1
Label,FSOE,3
Label,DGTL,1
Label,Second State,1
Label,TRYBESof,5
Label,Etiquette,1
Label,Siona Records,1
Label,UNLEASHED,1
Label,Tomorrowbeats,1
Label,Dimension,2
Label,UNI/MOTOWN,1
