Type,Name,Count
Genre,Tech House,267
Genre,House,139
Genre,Progressive House,44
Genre,Techno (Peak Time / Driving),201
Genre,Melodic House & Techno,161
Genre,Funky House,48
Genre,Deep House,60
Genre,Future House,24
Genre,Nu Disco / Disco,27
Genre,DJ Tools,1
Genre,Afro House,26
Genre,Indie Dance,31
Genre,Drum & Bass,53
Genre,Big Room,17
Genre,Bass House,21
Genre,Minimal / Deep Tech,23
Genre,Electro House,6
Genre,Dance / Electro Pop,23
Genre,Trance (Main Floor),24
Genre,Psy-Trance,1
Genre,Electronica,1
Genre,Techno (Raw / Deep / Hypnotic),1
Genre,Leftfield House & Techno,1
Label,Hot Creations,19
Label,Solid Grooves Raw,3
Label,Repopulate Mars,18
Label,Defected,51
Label,Pryda Presents,8
Label,SOLOTOKO,11
Label,Kraftek,11
Label,Catch & Release,19
Label,Watergate Records,7
Label,TRANSA RECORDS,3
Label,Glasgow Underground,14
Label,Next-Gen-Records,7
Label,Octopus Recordings,4
Label,Toolroom,34
Label,Cr2 Records,13
Label,Tactical Records,12
Label,Filth on Acid,15
Label,Stil Vor Talent,12
Label,Large Music,5
Label,Strictly Rhythm,2
Label,Sweat It Out,10
Label,DFTD,15
Label,Discotexas,2
Label,SPINNIN' RECORDS,11
Label,Drumcode,45
Label,Relief,10
Label,Mood Funk Records,3
Label,Greenmountain,3
Label,Prison Entertainment,2
Label,Tronic,1
Label,Intec,2
Label,Black Book Records,6
Label,Terminal M,12
Label,PornoStar Records,8
Label,Ellum,2
Label,Rumors,6
Label,Embassy One,12
Label,Sweet Musique,1
Label,Noir Music,5
Label,Shall Not Fade,1
Label,Rawtone Black,2
Label,Electric Ballroom,7
Label,Domino,2
Label,MPLX,1
Label,Musical Freedom,7
Label,X-Change Music,1
Label,AVOTRE,1
Label,Afterlife Records,18
Label,MoBlack Records,3
Label,MOXY MUZIK,1
Label,Diynamic,23
Label,ELEVATE,1
Label,HEXAGON by Spinnin' Records,1
Label,Set About,1
Label,Huambo Records,1
Label,Keinemusik,10
Label,8Bit,8
Label,Atmosphere Records,3
Label,Cult.ure,2
Label,Whore House,1
Label,Rave Culture,4
Label,Brobot Records,1
Label,Green,1
Label,Pampa Records,5
Label,Up The Anti Records,3
Label,Transpecta,1
Label,Ammo Recordings,1
Label,Different,1
Label,Delecta Records,1
Label,Freerange Records,1
Label,Solid Grooves Records,7
Label,We Are The Brave,5
Label,Rubik's Recordings,1
Label,Einmusika Recordings,3
Label,Punks,1
Label,Gem Records,1
Label,Moan,4
Label,Glitterbox Recordings,4
Label,Symmetry Recordings,1
Label,WEAPONS / Ministry of Sound Recordings,1
Label,HEXAGON,7
Label,REALM,3
Label,Classic Music Company,5
Label,DIRTYBIRD,5
Label,Virgin/Mercury,3
Label,Hospital Records,8
Label,Footwork,3
Label,Legend,6
Label,Heldeep Records,3
Label,iVAV Recordings,1
Label,PPMUSIC,3
Label,RAM Records,5
Label,fryhide,3
Label,TAU,3
Label,DCD2 / Equal Vision Records,1
Label,Club Sweat,15
Label,Innervisions,11
Label,Armind (Armada),6
Label,Suara,6
Label,Columbia (Sony),8
Label,Stashed,4
Label,FSOE Parallels,1
Label,PHOBIA Music Recordings,2
Label,P.O.D CROSS,2
Label,Phantasy Sound,1
Label,Crosstown Rebels,6
Label,Formation Records,1
Label,Guess Records,1
Label,Flexout Audio,1
Label,FSOE,4
Label,Sol Selectas,2
Label,Armada Music,1
Label,DNB Allstars Records,2
Label,Sola,7
Label,HotBOi Records,3
Label,Kneaded Pains,4
Label,Lost & Found,5
Label,Fe Chrome,8
Label,Toolroom Trax,2
Label,Blaufield Music,4
